#{"t_start": 1634989009.620602, "env_id": null}
r,l,t
0.06,3,1376.614681
0.15,5,1379.833862
0.45,9,1384.964839
0.1,4,1387.398026
0.21,6,1391.031757
0.45,9,1396.496992
0.21,6,1400.230383
0.15,5,1403.164451
0.28,7,1407.280754
0.1,4,1409.946514
0.45,9,1415.412896
0.91,13,1423.02968
0.28,7,1427.013088
1.53,17,1436.745926
0.78,12,1443.812315
0.28,7,1447.813173
0.1,4,1450.462036
0.21,6,1454.16134
0.78,12,1461.179402
0.36,8,1465.728989
0.15,5,1468.561604
0.1,4,1470.92847
0.15,5,1474.207762
0.06,3,1476.293608
0.15,5,1479.161581
0.21,6,1482.47769
0.45,9,1487.460951
0.21,6,1490.861452
0.21,6,1494.127295
0.15,5,1496.893991
0.21,6,1500.244255
0.36,8,1504.509858
0.15,5,1507.293409
0.1,4,1509.5925
0.21,6,1513.040285
0.15,5,1515.826607
0.1,4,1518.109309
0.45,9,1523.009693
0.21,6,1526.243583
0.55,10,1531.575646
0.21,6,1534.876249
0.1,4,1537.108733
0.1,4,1539.358944
0.45,9,1544.225629
0.15,5,1546.992328
0.28,7,1550.908793
0.21,6,1554.208812
0.21,6,1557.476193
0.55,10,1563.026144
0.15,5,1565.823975
0.15,5,1568.524746
0.28,7,1572.360641
0.45,9,1577.444314
0.21,6,1580.790535
0.1,4,1583.007255
0.36,8,1587.256953
0.15,5,1590.024016
0.36,8,1594.27434
0.36,8,1598.605578
0.1,4,1600.82372
0.45,9,1605.75706
0.1,4,1607.989574
0.15,5,1610.740119
0.21,6,1614.006137
0.45,9,1618.806267
0.36,8,1623.088636
0.15,5,1625.852764
0.15,5,1628.818762
0.1,4,1631.236366
0.15,5,1634.385004
0.21,6,1637.639589
0.15,5,1640.388471
0.21,6,1643.672337
0.36,8,1648.055294
0.1,4,1650.37229
0.55,10,1655.805496
1.2,15,1663.772008
0.36,8,1668.087773
0.21,6,1671.386766
0.15,5,1674.187528
0.15,5,1677.037399
0.78,12,1683.553703
0.28,7,1687.303971
0.45,9,1692.103391
1.2,15,1700.104125
0.21,6,1703.386789
0.21,6,1706.686452
0.1,4,1709.235549
0.28,7,1713.052935
0.28,7,1716.869084
0.21,6,1720.152554
0.15,5,1729.285733
0.28,7,1733.069394
0.1,4,1735.384633
0.36,8,1739.651699
0.28,7,1743.401294
0.21,6,1746.701525
0.15,5,1749.485435
0.1,4,1751.801594
0.36,8,1756.051786
0.1,4,1758.3174
0.28,7,1762.085047
0.21,6,1765.401262
0.28,7,1769.15082
0.1,4,1771.366903
0.21,6,1774.600813
0.36,8,1778.967239
0.21,6,1782.233088
0.1,4,1784.432055
0.15,5,1787.133667
0.21,6,1790.383987
0.21,6,1793.632672
0.28,7,1797.382681
0.28,7,1801.250512
0.1,4,1803.516162
0.78,12,1809.93262
0.36,8,1814.216665
0.1,4,1816.499396
0.15,5,1819.248485
0.15,5,1822.032379
0.78,12,1828.532433
0.28,7,1832.365641
0.21,6,1835.61486
0.15,5,1838.331171
0.78,12,1845.013745
0.15,5,1847.766171
0.1,4,1850.031394
0.45,9,1854.881247
0.91,13,1861.964512
0.1,4,1864.230209
0.78,12,1870.664262
0.36,8,1874.947058
0.66,11,1880.860857
0.21,6,1884.247016
0.21,6,1887.496549
0.36,8,1891.845815
0.21,6,1895.079781
0.1,4,1897.329678
0.91,13,1904.129057
0.21,6,1907.412014
0.45,9,1912.211462
0.36,8,1916.512407
0.1,4,1918.779481
0.28,7,1922.561857
0.15,5,1925.333313
0.21,6,1928.628217
0.55,10,1933.961509
0.15,5,1936.776883
0.1,4,1938.993952
0.36,8,1943.311877
0.21,6,1946.611636
0.78,12,1953.282647
0.78,12,1959.786655
0.21,6,1963.055431
0.55,10,1968.524228
0.15,5,1971.359313
0.36,8,1975.677886
0.15,5,1978.430174
0.21,6,1981.681437
0.15,5,1984.500352
0.21,6,1987.81831
0.21,6,1991.103683
0.45,9,1996.088976
0.06,3,1998.122876
0.21,6,2001.474852
0.21,6,2004.810857
0.15,5,2007.578722
0.15,5,2010.345907
0.1,4,2012.664736
0.15,5,2015.416074
0.78,12,2022.037036
0.15,5,2024.819719
0.15,5,2027.571332
0.36,8,2032.022543
0.15,5,2034.774862
0.1,4,2037.008782
0.1,4,2039.275324
0.15,5,2042.060691
0.15,5,2044.82872
0.1,4,2047.079755
0.15,5,2049.847339
0.28,7,2053.745198
1.2,15,2061.734161
0.15,5,2064.452676
0.1,4,2067.070259
0.1,4,2069.421839
0.15,5,2072.156173
0.15,5,2074.991385
0.36,8,2079.343253
0.45,9,2084.210933
0.15,5,2086.979285
0.28,7,2097.148613
0.66,11,2102.983975
0.28,7,2106.835764
0.21,6,2110.321562
0.15,5,2113.121044
0.15,5,2115.988762
0.21,6,2119.273304
0.28,7,2123.040168
0.45,9,2127.90958
0.21,6,2131.323703
0.36,8,2135.761592
0.55,10,2141.16403
0.1,4,2143.432166
0.21,6,2146.681855
0.45,9,2151.483358
0.21,6,2155.083294
0.1,4,2157.367792
0.28,7,2161.10183
0.66,11,2166.988704
0.28,7,2170.77206
0.1,4,2173.039282
0.55,10,2178.340463
0.55,10,2183.675857
0.28,7,2187.543257
0.28,7,2191.327308
0.36,8,2195.595023
0.55,10,2201.11506
0.21,6,2204.330642
0.15,5,2207.43191
0.45,9,2212.516545
0.55,10,2217.88466
0.36,8,2222.168804
0.36,8,2226.436383
0.1,4,2228.703562
0.1,4,2230.986547
0.28,7,2234.704219
0.91,13,2241.606478
0.55,10,2247.09056
0.1,4,2249.340873
0.1,4,2251.591511
0.1,4,2253.842485
0.28,7,2257.743206
0.28,7,2261.644979
0.28,7,2265.326978
0.78,12,2272.21344
0.1,4,2274.597094
0.15,5,2277.346828
0.36,8,2281.763624
0.45,9,2286.682266
0.21,6,2289.999654
0.45,9,2294.867517
0.36,8,2299.201746
0.36,8,2303.501991
0.15,5,2306.302522
0.15,5,2309.070395
0.15,5,2311.837571
0.36,8,2316.10456
0.21,6,2319.387921
0.15,5,2322.139259
0.1,4,2324.338867
0.36,8,2328.756747
0.15,5,2331.507241
0.15,5,2334.370805
0.91,13,2341.409337
0.1,4,2343.824714
0.28,7,2348.10916
0.28,7,2352.040521
0.45,9,2357.010935
0.15,5,2359.748143
0.21,6,2363.131423
0.21,6,2366.515464
0.21,6,2369.880131
0.21,6,2373.163813
0.1,4,2375.447091
0.15,5,2378.197759
0.28,7,2382.114833
0.1,4,2384.415745
0.28,7,2388.182643
0.1,4,2390.516578
0.1,4,2392.883415
0.66,11,2398.767693
0.36,8,2403.117825
0.15,5,2405.935107
0.28,7,2409.76891
0.1,4,2412.086811
0.1,4,2414.336504
0.15,5,2417.10348
0.28,7,2420.887662
0.21,6,2424.153936
0.28,7,2427.90496
0.21,6,2431.155877
0.21,6,2434.55655
0.1,4,2439.355587
0.28,7,2443.257654
0.21,6,2446.474607
0.91,13,2453.690672
0.45,9,2458.507762
0.21,6,2461.792695
0.21,6,2465.108657
0.66,11,2470.977698
0.21,6,2481.97778
0.21,6,2485.228958
0.21,6,2488.512735
0.28,7,2492.279536
0.21,6,2495.612862
0.21,6,2498.912891
0.55,10,2504.297545
0.55,10,2509.597247
0.55,10,2514.847556
0.1,4,2517.115522
0.36,8,2521.432445
0.28,7,2525.366671
0.91,13,2532.432488
0.78,12,2538.751096
0.28,7,2542.634696
0.55,10,2548.51877
0.21,6,2551.902144
0.78,12,2558.486494
0.1,4,2560.736322
0.15,5,2563.469558
1.36,16,2571.953923
0.21,6,2575.287214
0.66,11,2581.072142
0.45,9,2585.990161
0.21,6,2589.355343
0.66,11,2595.424252
0.28,7,2599.239305
0.1,4,2601.490816
0.36,8,2605.840364
0.91,13,2612.775182
0.78,12,2619.375217
0.15,5,2622.221356
0.55,10,2627.842788
0.36,8,2632.242897
0.66,11,2638.259605
0.78,12,2644.809046
0.36,8,2649.044011
0.91,13,2656.127807
0.1,4,2658.345394
0.21,6,2661.57936
0.91,13,2668.594729
0.55,10,2674.163172
0.15,5,2677.396468
0.06,3,2679.495256
0.45,9,2684.463317
0.36,8,2688.663402
0.91,13,2695.297808
1.2,15,2703.114748
1.2,15,2711.065608
0.1,4,2713.299181
0.78,12,2719.682536
0.1,4,2721.933427
0.28,7,2725.800232
1.2,15,2733.917466
0.45,9,2738.783569
0.45,9,2743.617445
0.45,9,2748.470169
0.66,11,2754.501238
0.1,4,2756.80143
0.45,9,2761.6192
0.91,13,2768.802633
0.1,4,2771.053293
0.66,11,2776.903552
1.36,16,2785.421017
0.55,10,2790.821863
0.36,8,2795.070748
0.28,7,2798.821608
0.1,4,2801.038962
1.2,15,2808.922684
0.15,5,2811.62304
0.91,13,2818.490444
0.36,8,2822.907179
1.53,17,2832.69087
0.28,7,2836.49071
0.21,6,2839.807502
0.28,7,2843.643318
0.36,8,2848.0089
0.1,4,2850.307944
0.45,9,2855.124556
0.45,9,2860.008642
0.36,8,2864.292827
0.36,8,2868.608719
0.1,4,2870.976624
0.21,6,2874.243191
0.1,4,2876.509636
0.55,10,2881.892983
0.55,10,2887.193923
0.21,6,2890.444158
0.1,4,2892.744866
